size,succeeded,timeout,duration
50,50,0,5057453
100,100,0,4381560
150,150,0,11473254
200,200,0,6687762
250,250,0,7244341
300,300,0,13002445
350,350,0,6849618
400,400,0,15568740
450,450,0,10882641
500,500,0,62036062
550,550,0,2324687
600,600,0,11879188
650,650,0,77613279
700,700,0,542564
750,750,0,55036671
800,800,0,61825902
850,848,2,6346058
900,898,2,5578596
950,948,2,35315928
1000,998,2,58414441
1050,1048,2,28948925
1100,1098,2,92531713
1150,1148,2,17798661
1200,1198,2,74258503
1250,1248,2,99784004
1300,1298,2,29558074
1350,1346,4,26965155
1400,1396,4,152995557
1450,1446,4,89249334
1500,1496,4,103496179
1550,1546,4,84591127
1600,1596,4,23034286
1650,1646,4,16475641
1700,1695,5,107891265
1750,1745,5,106952497
1800,1795,5,148605392
1850,1845,5,56544151
1900,1895,5,92852937
1950,1945,5,33818671
2000,1995,5,196097464
