size,succeeded,timeout,duration
50,50,0,5.057453ms
100,100,0,4.38156ms
150,150,0,11.473254ms
200,200,0,6.687762ms
250,250,0,7.244341ms
300,300,0,13.002445ms
350,350,0,6.849618ms
400,400,0,15.56874ms
450,450,0,10.882641ms
500,500,0,62.036062ms
550,550,0,2.324687ms
600,600,0,11.879188ms
650,650,0,77.613279ms
700,700,0,542.564µs
750,750,0,55.036671ms
800,800,0,61.825902ms
850,848,2,6.346058ms
900,898,2,5.578596ms
950,948,2,35.315928ms
1000,998,2,58.414441ms
1050,1048,2,28.948925ms
1100,1098,2,92.531713ms
1150,1148,2,17.798661ms
1200,1198,2,74.258503ms
1250,1248,2,99.784004ms
1300,1298,2,29.558074ms
1350,1346,4,26.965155ms
1400,1396,4,152.995557ms
1450,1446,4,89.249334ms
1500,1496,4,103.496179ms
1550,1546,4,84.591127ms
1600,1596,4,23.034286ms
1650,1646,4,16.475641ms
1700,1695,5,107.891265ms
1750,1745,5,106.952497ms
1800,1795,5,148.605392ms
1850,1845,5,56.544151ms
1900,1895,5,92.852937ms
1950,1945,5,33.818671ms
2000,1995,5,196.097464ms
